"industry","avg_ind_salary"
Consulting,149
Health Care Services & Hospitals,142
IT Services,136
Banks & Credit Unions,134
Insurance Carriers,128
Lending,122
Internet,115
Enterprise Software & Network Solutions,113
Consumer Products Manufacturing,113
Investment Banking & Asset Management,108
Insurance Agencies & Brokerages,104
Advertising & Marketing,90
