"industry","avg_ind_salary"
Computer Hardware & Software,147
Advertising & Marketing,131
Colleges & Universities,131
Aerospace & Defense,123
Insurance Carriers,121
Consulting,120
Enterprise Software & Network Solutions,115
Federal Agencies,113
IT Services,112
Health Care Services & Hospitals,112
Internet,102
Biotech & Pharmaceuticals,96
